item_id,name,price,Category,Meal_Type,calories_kcal,protein_g,fat_g,carbohydrates_g,salt_equivalent_g,saturated_fat_g,sugar_g,dietary_fiber_g,cholesterol_mg,sodium_mg,vitamin_c_mg,calcium_mg,iron_mg
45,apollo chocolate,100,Beverage,Snack,554,28.3,22.8,57.7,3.8,12.7,16.1,3.1,151,445.0,59.3,27.4,0.8
46,kitkat matcha,130,Dessert,Snack,180,7.3,3.8,63.1,3.1,3.7,10.6,4.3,24,1605.0,56.6,263.2,2.2
47,meiji almond chocolate,150,Beverage,Snack,534,31.3,14.8,44.9,0.6,6.8,16.4,7.3,198,2358.0,2.4,79.7,4.7
48,calbee potato chips ,140,Snack,Snack,696,19.3,10.7,28.5,0.5,1.9,6.0,5.0,179,854.0,42.3,38.9,2.1
49,calbee jagariko ,130,Snack,Snack,70,28.5,9.8,38.8,3.5,14.3,44.5,0.9,197,983.0,55.5,266.6,3.2
50,cheeza crackers,180,Snack,Snack,216,31.5,38.9,77.0,0.5,9.1,29.7,7.5,87,1329.0,10.8,286.7,2.0
51,nikuman,180,Meal,Lunch,323,11.8,15.8,6.4,4.1,3.4,34.0,5.0,160,1807.0,34.1,258.6,1.4
52,anman,180,Meal,Snack,437,4.7,35.7,16.0,3.6,10.1,39.5,2.7,176,954.0,54.9,242.9,4.9
53,oden set,350,Meal,Dinner,650,8.7,25.3,9.4,0.5,9.3,24.9,1.1,28,1126.0,2.0,196.6,2.0
54,pizza bun,170,Meal,Lunch,365,15.5,31.8,8.9,0.5,5.4,4.3,6.4,62,1940.0,41.8,165.3,4.5
55,chicken karaage kun,220,Protein,Snack,63,28.8,20.2,86.3,4.9,1.7,26.9,5.0,149,1573.0,17.8,26.1,1.1
56,hash browns,130,Meal,Breakfast,291,30.3,23.1,71.8,1.9,10.1,29.3,4.3,153,1437.0,55.5,122.5,1.1
57,grilled sausage stick,150,Protein,Snack,395,1.2,19.8,50.0,1.9,7.8,37.3,7.2,155,1353.0,58.3,111.8,0.2
58,boiled egg,80,Protein,Breakfast,614,18.4,7.9,14.3,4.1,11.6,21.6,6.3,113,642.0,56.7,77.9,3.3
59,seasoned seaweed,100,Meal,Side,389,15.2,28.9,51.7,4.7,7.8,6.4,1.2,48,2156.0,28.5,217.0,1.8
60,miso soup,120,Meal,Side,141,8.6,11.3,50.0,4.9,12.8,14.2,2.5,198,177.0,51.7,148.8,4.3
61,corn potage soup,140,Meal,Breakfast,416,5.1,1.1,21.5,3.8,8.3,18.2,2.0,80,785.0,50.7,24.3,2.4
62,instant ramen  ,200,Meal,Lunch,504,12.5,25.9,46.2,1.9,8.4,32.3,6.0,83,570.0,19.1,66.1,4.8
63,instant ramen ,200,Meal,Lunch,477,33.1,7.2,42.9,0.5,13.1,28.5,0.3,104,286.0,49.7,205.0,0.9
64,instant udon,180,Grain,Lunch,558,12.0,37.6,63.5,3.9,6.1,17.8,4.6,176,1354.0,2.2,22.8,4.3
65,instant soba,180,Grain,Lunch,84,18.6,38.2,65.3,2.8,2.0,49.3,6.1,147,1831.0,35.8,255.4,3.9
66,onigiri variety pack ,600,Meal,Lunch,255,24.9,36.6,9.3,2.2,0.4,30.3,7.0,117,1351.0,13.8,148.5,3.9
67,bento combo set,850,Meal,Lunch,130,13.4,14.9,40.6,4.5,11.3,11.9,2.7,85,2101.0,7.2,144.2,4.2
68,frozen gyoza ,350,Meal,Dinner,611,34.0,0.7,64.5,0.6,9.3,5.1,6.6,62,491.0,4.6,177.7,3.8
69,taiyaki  ,160,Dessert,Snack,437,33.7,37.1,52.8,2.5,10.6,7.6,0.9,188,2126.0,41.8,247.4,3.1
70,custard taiyaki,160,Dessert,Snack,51,9.6,17.2,86.4,0.2,3.2,12.3,6.8,103,854.0,20.4,104.3,0.7
71,royce' chocolate,800,Beverage,Snack,439,17.9,38.7,67.6,2.4,2.0,8.0,1.0,48,124.0,43.5,203.4,0.2
72,shiroi koibito,1200,Meal,Snack,615,11.2,38.5,20.5,0.4,0.2,9.3,3.2,70,2225.0,3.9,169.7,4.6
73,tokyo banana,1000,Dessert,Snack,155,10.7,34.1,11.7,0.7,5.3,14.3,6.4,0,2139.0,18.9,80.1,3.1
74,sakura mochi,150,Dessert,Snack,526,2.3,11.8,66.0,0.7,8.8,8.7,1.2,140,1429.0,32.4,263.6,4.0
75,strawberry daifuku,170,Meal,Snack,752,21.7,15.5,7.5,3.3,5.9,44.8,1.8,178,90.0,47.4,239.2,2.4
76,matcha ice cream ,200,Dairy,Snack,451,18.1,34.1,60.6,3.8,6.6,4.0,5.8,122,2131.0,19.1,197.5,0.6
77,vanilla ice cream ,180,Dairy,Snack,779,2.8,12.7,94.3,3.0,13.6,26.2,5.8,183,1750.0,37.6,255.2,0.6
78,häagen dazs green tea,350,Beverage,Breakfast,605,10.5,6.9,59.7,4.8,5.2,20.5,5.1,61,1451.0,53.2,260.2,3.4
79,garigari kun soda,80,Meal,Snack,211,31.9,22.3,41.9,1.9,7.7,49.1,5.6,31,637.0,37.0,212.5,2.2
80,yakult ,250,Beverage,Breakfast,251,9.1,37.5,66.1,1.5,11.8,5.6,4.3,157,1672.0,14.0,251.1,1.0
81,meiji bulgaria yogurt ,130,Dairy,Breakfast,319,5.9,27.9,48.5,4.4,5.9,19.9,2.0,28,391.0,1.5,209.2,2.5
82,aloe yogurt,150,Dairy,Breakfast,320,17.6,22.8,56.8,1.2,9.3,48.5,2.8,48,2124.0,52.2,204.0,0.3
83,onsen tamago,90,Meal,Breakfast,505,34.5,4.0,94.4,4.8,12.9,43.3,1.5,172,695.0,1.3,185.6,2.9
84,tofu  ,100,Legume,Dinner,511,9.2,24.6,41.7,0.2,14.2,40.9,7.3,29,780.0,52.5,225.8,1.3
85,natto ,120,Legume,Breakfast,776,23.9,39.6,96.3,4.9,2.2,12.9,4.7,143,217.0,31.7,47.6,4.0
86,pickled radish,100,Meal,Side,301,26.9,5.7,91.0,0.3,13.9,8.5,3.2,167,659.0,56.3,264.3,1.6
87,edamame ,180,Legume,Side,751,9.1,20.8,23.6,4.5,7.4,33.4,3.7,18,2365.0,47.9,261.6,2.3
88,soba noodles  ,300,Grain,Lunch,345,25.8,35.1,11.6,2.7,3.9,46.5,7.6,17,1822.0,59.9,8.8,0.1
89,udon noodles  ,280,Grain,Lunch,774,13.5,29.7,14.6,5.0,6.9,27.8,1.2,0,2090.0,21.0,247.7,0.4
90,rice ,800,Grain,Lunch,769,22.5,27.9,6.7,0.5,14.7,28.6,4.7,77,504.0,46.0,38.7,2.0
91,bread crumbs,200,Grain,Breakfast,798,22.5,28.1,14.0,2.8,7.4,14.0,4.0,114,1758.0,24.1,100.5,2.4
92,tonkatsu sauce,250,Condiment,Side,387,19.2,14.4,69.9,4.8,4.9,38.5,4.9,174,751.0,28.8,223.1,3.0
93,soy sauce ,180,Condiment,Side,102,4.1,11.8,11.8,2.7,9.5,9.4,0.1,193,1649.0,37.7,48.2,1.5
94,mirin,200,Condiment,Side,266,29.4,32.4,35.3,3.2,3.6,16.2,7.0,112,179.0,52.4,245.4,3.5
95,cooking sake,220,Condiment,Side,237,11.9,32.4,85.3,3.5,1.1,21.3,7.5,113,1895.0,59.0,249.6,4.3
96,mayonnaise  ,200,Condiment,Side,429,7.3,34.7,7.2,2.3,1.9,25.4,4.5,165,1436.0,46.1,152.2,3.9
97,instant miso soup pack,250,Meal,Side,542,2.4,36.5,82.4,3.2,1.9,12.1,5.6,178,742.0,25.1,1.9,0.2
98,green tea bags ,400,Beverage,Breakfast,90,21.1,20.5,31.8,3.0,2.3,5.7,7.4,62,1444.0,25.3,86.1,2.4
99,coffee drip bags ,500,Beverage,Breakfast,206,24.0,20.1,16.2,4.5,2.1,30.5,5.7,131,843.0,44.3,185.1,0.5
100,disposable chopsticks ,150,Supplement,Any,64,1.6,32.0,71.2,0.3,9.6,14.4,1.2,128,78.0,14.3,294.4,1.2
101,paper plates ,200,Supplement,Any,114,18.4,26.0,64.7,1.5,2.7,29.1,4.6,7,198.0,6.6,189.5,4.9
102,tissues ,80,Supplement,Any,570,8.7,28.1,88.4,4.8,5.2,7.7,4.9,156,1369.0,21.3,77.9,0.7
103,lip balm,300,Supplement,Any,393,22.9,31.9,74.8,4.5,13.5,24.1,3.4,54,2108.0,17.2,190.2,2.5
104,hand cream,450,Supplement,Any,178,6.9,35.6,81.3,2.3,7.1,26.6,5.9,102,1186.0,17.8,162.0,3.1
105,phone charger cable,800,Supplement,Any,697,24.5,13.6,31.8,3.1,10.0,2.6,7.5,130,236.0,14.0,234.0,3.5
106,Scrambled Eggs (2 large),211,Protein,Breakfast,180,12.0,17.9,2.0,3.55,14.0,1.0,0.0,370,180.0,97.8,26.2,8.4
107,Whole Wheat Toast (1 slice),71,Grain,Breakfast,80,4.0,4.4,14.0,3.47,1.0,2.0,2.0,0,140.0,39.8,492.2,4.6
108,Coffee (black),405,Beverage,Breakfast,5,0.3,23.6,0.0,2.86,0.1,0.0,0.0,0,5.0,89.8,457.9,3.9
109,Banana,276,Fruit,Breakfast,105,1.3,8.7,27.0,4.07,0.4,14.0,3.1,0,1.0,64.5,158.5,6.8
110,Grilled Chicken Salad,213,Meal,Lunch,350,30.0,10.0,10.0,2.18,20.0,4.0,5.0,80,400.0,24.6,13.4,2.7
111,Apple,373,Fruit,Snack,95,0.5,5.4,25.0,0.58,0.3,19.0,4.4,0,2.0,11.3,61.1,1.8
112,Salmon (4oz grilled),344,Protein,Dinner,230,25.0,24.9,0.0,2.42,14.0,0.0,0.0,60,60.0,97.3,297.8,6.7
113,Quinoa (1 cup cooked),469,Grain,Dinner,222,8.0,9.6,39.0,0.77,3.6,1.0,5.0,0,13.0,31.8,174.9,11.1
114,Steamed Broccoli (1 cup),322,Vegetable,Dinner,55,3.7,23.1,11.2,4.23,0.6,2.0,5.1,0,40.0,8.0,467.6,8.5
115,Greek Yogurt (plain 1 cup),93,Dairy,Snack,150,25.0,10.2,8.0,3.84,3.0,7.0,0.0,10,85.0,46.1,475.2,10.9
116,Oatmeal (1 cup cooked),327,Grain,Breakfast,160,6.0,9.3,28.0,1.26,3.0,1.0,4.0,0,2.0,42.5,222.4,5.4
117,Blueberries (1/2 cup),142,Fruit,Breakfast,42,0.5,18.3,11.0,4.23,0.2,7.0,1.8,0,1.0,46.8,53.4,13.4
118,Almonds (1 oz),82,Nut,Snack,164,6.0,11.6,6.0,1.1,14.0,1.0,3.5,0,1.0,75.9,392.0,8.7
119,Turkey Sandwich (on wheat),247,Meal,Lunch,340,22.0,16.8,34.0,0.65,12.0,6.0,5.0,50,850.0,74.3,228.1,7.4
120,Carrot Sticks (1 cup),129,Vegetable,Snack,52,1.2,6.9,12.3,0.62,0.3,6.0,3.6,0,88.0,24.6,481.9,11.7
121,Spaghetti Bolognese,260,Meal,Dinner,460,20.0,18.4,55.0,3.05,18.0,10.0,6.0,50,700.0,45.6,210.8,3.4
122,Side Salad (light dressing),441,Vegetable,Dinner,70,2.0,4.6,8.0,1.65,4.0,3.0,3.0,0,150.0,85.3,345.6,14.2
123,Protein Shake (Whey),451,Supplement,Snack,120,24.0,4.8,3.0,3.97,1.0,2.0,1.0,5,160.0,42.7,492.2,1.9
124,Cereal (Frosted Flakes 1 cup),209,Grain,Breakfast,130,2.0,15.9,31.0,2.02,0.0,11.0,1.0,0,190.0,57.4,476.0,0.6
125,Milk (2%,437,Meal,Breakfast,122,8.0,23.5,12.0,1.78,5.0,12.0,0.0,20,100.0,13.8,211.3,4.1
126,Lentil Soup (1 can),452,Meal,Lunch,230,15.0,21.3,35.0,3.54,3.0,6.0,12.0,0,650.0,3.6,322.2,3.4
127,White Rice (1 cup cooked),457,Grain,Dinner,204,4.2,8.8,44.5,4.29,0.4,0.1,0.6,0,2.0,77.0,466.9,5.6
128,Tofu Stir-fry,135,Meal,Dinner,400,18.0,12.1,30.0,2.73,22.0,9.0,7.0,0,500.0,97.8,112.4,6.4
129,Orange,421,Fruit,Snack,62,1.2,12.8,15.4,2.85,0.2,12.0,3.1,0,0.0,9.8,494.3,14.8
130,Bagel (plain),148,Grain,Breakfast,270,11.0,18.3,55.0,4.78,1.5,5.0,2.0,0,430.0,46.8,35.5,2.1
131,Cream Cheese (2 tbsp),391,Dairy,Breakfast,100,2.0,8.8,2.0,0.69,10.0,1.0,0.0,30,90.0,28.6,144.1,4.9
132,Tuna Salad (1/2 cup),67,Meal,Lunch,190,19.0,8.0,2.0,1.95,12.0,1.0,1.0,30,400.0,84.6,275.8,9.0
133,Crackers (5 whole wheat),459,Grain,Lunch,90,2.0,14.3,14.0,1.7,3.0,0.0,2.0,0,180.0,20.1,449.9,0.8
134,Beef Steak (6oz sirloin),345,Protein,Dinner,270,42.0,24.8,0.0,1.25,10.0,0.0,0.0,115,90.0,93.1,78.9,12.0
135,Baked Potato (medium),427,Vegetable,Dinner,160,4.3,1.4,36.0,0.36,0.2,1.0,3.8,0,17.0,66.9,489.0,12.1
136,Ice Cream (1/2 cup vanilla),451,Dairy,Snack,145,2.5,19.2,17.0,2.57,7.5,16.0,0.5,30,55.0,72.3,454.6,10.0
137,Pizza (1 slice pepperoni),77,Meal,Dinner,290,12.0,3.0,34.0,0.91,12.0,4.0,2.0,35,720.0,65.9,310.4,1.1
138,Avocado Toast (1 slice),206,Meal,Breakfast,260,7.0,2.3,28.0,3.12,15.0,1.0,10.0,0,350.0,72.5,425.6,5.5
139,Hard-Boiled Egg (1 large),108,Protein,Snack,78,6.3,9.9,0.6,3.19,5.3,0.5,0.0,187,62.0,49.8,143.3,4.3
140,Chicken Wrap (with tortilla),428,Meal,Lunch,410,25.0,18.8,38.0,3.35,17.0,3.0,5.0,60,780.0,88.2,15.0,10.6
141,Grapes (1 cup),290,Fruit,Snack,104,1.1,6.3,27.0,2.14,0.2,23.0,1.4,0,3.0,50.6,230.0,6.2
142,Cottage Cheese (1/2 cup),410,Dairy,Snack,90,12.0,22.1,5.0,2.18,3.0,4.0,0.0,10,400.0,57.3,492.5,0.1
143,Burger (cheeseburger),172,Meal,Dinner,550,30.0,1.2,40.0,3.41,30.0,7.0,3.0,90,1100.0,73.3,456.5,2.5
144,French Fries (medium),163,Vegetable,Dinner,340,4.0,7.9,44.0,0.22,17.0,0.3,4.0,0,230.0,13.2,35.3,11.8
145,Protein Bar,202,Supplement,Snack,210,20.0,9.1,22.0,2.94,7.0,1.0,6.0,5,180.0,48.0,2.8,11.6
146,Black Beans (1/2 cup),148,Legume,Lunch,114,7.6,18.8,20.4,1.41,0.5,0.3,7.5,0,1.0,78.7,238.6,2.6
147,Salsa (1/4 cup),418,Vegetable,Lunch,20,0.8,24.1,4.5,4.57,0.1,3.0,1.0,0,250.0,49.6,209.9,12.5
148,Chicken Noodle Soup (1 can),324,Meal,Lunch,150,7.0,14.4,18.0,3.14,5.0,2.0,2.0,15,890.0,89.6,172.2,2.1
149,Peanut Butter (2 tbsp),299,Nut,Snack,190,7.0,20.6,8.0,1.88,16.0,3.0,2.0,0,140.0,62.6,357.4,0.3
150,Celery Sticks (1 cup),67,Vegetable,Snack,14,0.6,21.4,3.0,4.06,0.2,1.2,1.4,0,77.0,96.5,301.6,6.1
151,Cod (4oz baked),452,Protein,Dinner,95,20.0,8.2,0.0,3.38,0.8,0.0,0.0,55,95.0,25.5,494.7,5.9
152,Green Beans (1 cup),468,Vegetable,Dinner,31,1.8,18.0,7.0,2.11,0.2,3.3,2.7,0,6.0,35.4,279.2,11.6
153,Chocolate Chip Cookie (1 large),426,Dessert,Snack,220,2.5,22.1,30.0,1.89,11.0,19.0,1.5,20,160.0,35.4,329.3,7.6
154,Shrimp (3oz steamed),372,Protein,Dinner,84,20.0,22.3,0.2,1.72,0.2,0.0,0.0,161,100.0,14.4,193.2,1.0
155,Pancakes (2 medium),289,Grain,Breakfast,180,5.0,12.6,30.0,4.92,5.0,6.0,1.0,25,450.0,66.4,159.6,1.6
156,Maple Syrup (2 tbsp),70,Condiment,Breakfast,104,0.0,7.1,27.0,0.93,0.0,24.0,0.0,0,2.0,5.1,253.0,8.0
157,Sausage Link (1 cooked),453,Protein,Breakfast,85,5.0,3.8,1.0,2.37,7.0,0.5,0.0,20,300.0,42.3,102.8,13.7
158,Smoothie (Fruit & Yogurt),236,Beverage,Breakfast,280,12.0,11.5,55.0,2.12,3.0,40.0,7.0,5,70.0,42.7,157.2,0.3
159,Tofu (4oz firm),424,Protein,Lunch,90,10.0,14.4,3.0,4.51,5.0,1.0,2.0,0,10.0,63.6,407.2,5.8
160,Brown Rice (1 cup cooked),59,Grain,Lunch,215,5.0,23.3,45.0,3.64,1.8,0.4,3.5,0,10.0,70.0,95.4,6.3
161,Bell Pepper (1 medium red),377,Vegetable,Lunch,31,1.2,18.9,6.0,3.08,0.3,4.2,2.1,0,4.0,78.3,54.8,7.6
162,Hummus (2 tbsp),397,Legume,Snack,70,2.0,14.7,4.0,4.03,5.0,0.0,2.0,0,130.0,34.9,169.4,1.5
163,Pita Bread (1 whole wheat),273,Grain,Snack,170,6.0,6.8,35.0,1.47,1.5,2.0,5.0,0,320.0,72.6,482.0,11.4
164,Pork Chop (4oz grilled),413,Protein,Dinner,220,30.0,2.6,0.0,3.17,10.0,0.0,0.0,85,70.0,35.5,112.5,3.9
165,Mashed Potatoes (1 cup),122,Vegetable,Dinner,230,4.0,8.0,35.0,0.32,8.0,2.0,3.0,15,350.0,8.3,206.9,7.0
166,Corn (1 cup),387,Vegetable,Dinner,132,4.7,20.1,30.0,2.61,1.8,8.9,3.6,0,2.0,30.6,194.5,10.7
167,Soda (1 can Coke),264,Beverage,Snack,140,0.0,24.9,39.0,4.54,0.0,39.0,0.0,0,45.0,43.5,258.7,6.6
168,Pretzels (1 oz),446,Grain,Snack,110,3.0,13.8,23.0,4.77,1.0,1.0,1.0,0,450.0,93.5,394.5,4.3
169,Cheddar Cheese (1 oz),328,Dairy,Snack,115,7.0,24.8,1.0,0.01,9.5,0.5,0.0,30,180.0,6.9,14.7,6.1
170,Caesar Salad (with chicken),82,Meal,Lunch,470,30.0,0.2,15.0,4.59,30.0,3.0,3.0,75,890.0,5.8,36.0,1.1
171,Orange Juice (1 cup),427,Beverage,Breakfast,112,1.7,13.6,25.8,2.68,0.5,20.8,0.7,0,2.0,11.1,187.4,3.1
172,Bacon (2 slices cooked),294,Protein,Breakfast,86,6.0,6.5,0.2,4.73,6.8,0.1,0.0,18,330.0,14.2,475.7,0.5
173,Waffles (2 homemade),91,Grain,Breakfast,220,6.0,1.7,28.0,2.38,9.0,3.0,1.5,45,420.0,2.8,12.3,8.6
174,Pear,373,Fruit,Snack,101,0.6,22.6,27.0,0.06,0.2,16.0,5.5,0,2.0,63.2,82.4,0.2
175,Chicken Breast (4oz roasted),466,Protein,Lunch,185,35.0,24.2,0.0,2.0,4.0,0.0,0.0,95,80.0,73.3,352.8,14.9
176,Mixed Nuts (1/4 cup),206,Nut,Snack,200,6.0,2.4,8.0,4.05,18.0,2.0,3.0,0,1.0,86.4,5.1,1.8
177,Tilapia (4oz baked),198,Protein,Dinner,110,22.0,21.3,0.0,2.34,2.5,0.0,0.0,50,50.0,83.4,190.6,1.3
178,Asparagus (1 cup steamed),128,Vegetable,Dinner,40,4.3,6.1,7.4,0.15,0.4,3.5,3.6,0,4.0,86.7,107.6,8.8
179,Sweet Potato (1 medium baked),383,Vegetable,Dinner,103,2.3,23.2,23.6,3.69,0.2,7.4,3.8,0,41.0,35.2,92.6,11.3
180,Popcorn (3 cups air-popped),154,Grain,Snack,93,3.0,6.9,18.6,1.7,1.1,0.1,3.6,0,2.0,12.0,83.1,8.8
181,Raisins (1/4 cup),360,Fruit,Snack,130,1.3,16.8,34.0,4.3,0.2,25.0,1.6,0,5.0,43.2,7.3,7.9
182,Macaroni & Cheese (1 cup),313,Meal,Lunch,350,10.0,0.9,40.0,3.46,17.0,5.0,2.0,40,750.0,88.7,265.6,14.1
183,Tomato Soup (1 can),493,Meal,Lunch,170,4.0,7.4,25.0,3.24,6.0,15.0,4.0,10,900.0,36.3,276.9,0.1
184,Grilled Cheese Sandwich,336,Meal,Lunch,390,15.0,20.8,32.0,3.1,22.0,4.0,3.0,60,800.0,61.7,40.6,9.2
185,Beef Tacos (2 hard shell),347,Protein,Dinner,380,18.0,19.0,28.0,3.91,22.0,3.0,5.0,50,600.0,53.1,376.5,14.2
186,Refried Beans (1/2 cup),497,Legume,Dinner,115,7.0,23.7,19.0,4.87,1.0,1.0,6.0,0,480.0,10.4,262.8,6.7
187,Guacamole (1/4 cup),415,Vegetable,Dinner,90,1.0,5.1,4.0,1.72,8.0,0.5,3.0,0,120.0,18.0,294.5,7.0
188,Watermelon (1 cup diced),128,Fruit,Snack,46,0.9,4.3,11.5,1.52,0.2,9.4,0.6,0,2.0,74.7,424.3,4.2
189,English Muffin (whole wheat),485,Grain,Breakfast,134,6.0,3.3,26.0,3.34,1.0,1.0,4.4,0,210.0,13.7,254.0,9.7
190,Peanut Butter & Jelly Sandwich,231,Meal,Lunch,390,12.0,22.8,50.0,1.48,17.0,20.0,5.0,0,450.0,37.6,17.2,2.5
191,Clam Chowder (1 cup),430,Meal,Lunch,200,10.0,23.3,18.0,1.94,9.0,2.0,1.0,30,870.0,20.9,497.8,0.5
192,Iced Tea (Sweetened 16oz),234,Beverage,Snack,180,0.0,3.4,46.0,0.25,0.0,46.0,0.0,0,15.0,82.1,78.8,14.9
